installation_id,latitude,longitude
AT_37,47.4207575,9.749734
AT_108,47.021283,15.473959
AT_106,48.21642019999999,15.6372366
AT_118,48.14067559999999,16.5092545
AT_2,47.5344342,15.502899
AT_1,47.7143986,13.6372787
AT_31,47.9167658,13.7707042
AT_83,47.9794159,13.8164638
AT_41,48.226968,13.0323229
AT_47,48.7635337,14.9787506
AT_50,48.3632883,14.0157137
AT_43,48.2990184,14.3236022
AT_67,46.9711233,15.3914638
AT_66,47.3537153,16.1335074
AT_119,48.1521053,13.1110635
AT_112,48.4972038,16.1222821
AT_86,48.2727784,16.424204
AT_11,48.0562713,14.1409959
AT_85,48.1989002,16.4604326
AT_10,48.2068461,15.2187024
AT_98,47.1868404,14.7230454
AT_110,47.1358109,15.3343377
AT_84,48.1835501,16.4303303
AT_97,47.0545475,15.1348565
AT_94,48.3269403,15.9198303
AT_93,47.3631252,15.3386334
AT_95,48.3389603,16.3424929
AT_96,46.769505,14.8353145
AT_115,47.0508847,16.0672842
AT_99,46.9121003,15.4864385
AT_17,48.2786073,14.3197919
AT_92,48.2233373,15.706845
AT_88,48.2707034,13.4192527
AT_135,48.3269403,15.9198303
AT_134,48.3947334,15.7080908
AT_102,48.2471167,13.0638262
AT_128,47.99798999999999,16.2532823
AT_127,47.8141633,16.2465828
AT_123,47.1518395,9.8236595
AT_29,48.04892659999999,14.4080047
AT_130,48.4079048,15.6513204
AT_125,47.27879249999999,15.3271734
AT_70,47.3318086,9.6311917
AT_124,47.70287,15.81747
AT_126,47.4153119,15.2769543
AT_103,46.6124447,13.8824242
AT_105,47.1052129,13.1356066
AT_131,48.3258985,16.0376268
AT_129,48.09319,16.321
AT_132,48.0848638,16.2985648
AT_133,48.1841295,15.6390161
AT_159,48.21812569999999,14.2431622
AT_198,48.0507128,14.4473537
AT_184,46.96696739999999,16.2586137
AT_175,47.0302823,15.4320544
AT_145,47.2875744,9.5898182
AT_167,47.2183504,9.6392784
AT_168,47.9794159,13.8164638
AT_147,47.9770024,13.6216414
AT_146,48.2963521,14.001356
AT_141,48.1484123,14.2186654
AT_137,48.5675612,16.5808556
AT_143,48.2061257,15.1645718
AT_138,47.70600289999999,16.1743538
AT_140,47.44535399999999,15.2829018
AT_139,47.44535399999999,15.2829018
AT_142,48.7201348,16.2849112
AT_144,47.2850753,15.3118446
AT_136,48.3389603,16.3424929
AT_170,47.30165900000001,15.6918622
AT_164,48.0248513,14.7629704
AT_162,48.0732305,14.8091594
AT_158,47.3969568,15.1512399
AT_156,47.5490582,10.6397957
AT_181,47.0714048,15.1316535
AT_197,48.24819069999999,13.2358374
AT_182,47.0672276,15.0788477
AT_169,47.8946001,15.9732505
AT_173,47.5490582,10.6397957
AT_203,47.5974332,13.1676579
AT_163,48.0248513,14.7629704
AT_157,47.7271636,13.0418909
AT_161,48.2988974,14.578785
AT_187,47.1751908,9.779512
AT_155,47.0655462,15.4187129
AT_183,47.0418609,15.1519998
AT_64,47.2958386,11.5938274
AT_196,48.11838590000001,14.9016204
AT_209,47.3797905,15.0597356
AT_208,48.2786073,14.3197919
AT_210,47.3797905,15.0597356
AT_217,47.021283,15.473959
AT_204,48.32867,15.94851
AT_150,48.168862,16.4082712
AT_202,48.2685369,16.404487
AT_154,47.2593386,11.3803113
AT_178,47.4345534,9.6587802
AT_211,47.27879249999999,15.3271734
AT_227,47.2148839,15.3445597
AT_212,47.27879249999999,15.3271734
AT_149,48.0125971,13.5917491
AT_201866,48.226968,13.0323229
AT_201868,48.226968,13.0323229
AT_201999,47.5969576,13.7854285
AT_201690,47.3797905,15.0597356
AT_201648,47.7215431,16.0466232
AT_201691,47.3902249,15.0438552
AT_205430,48.3069701,16.8291401
AT_205431,48.2522562,16.3926338
AT_205363,48.287186,14.323669
AT_205426,48.1398596,16.4893959
AT_205911,47.5682273,14.2101975
AT_205668,47.5836005,15.7190607
AT_205582,47.3398697,16.0209327
AT_205701,47.44535399999999,15.2829018
AT_205581,46.8797852,15.4731385
AT_206157,47.9753394,13.6153359
AT_206147,48.0158794,13.5724068
AT_206145,48.3738758,16.6362003
AT_206144,48.36418949999999,16.6816471
AT_206142,47.9653417,12.986742
AT_206124,47.9862949,13.2413258
AT_210485,46.9121003,15.4864385
AT_206825,48.1920351,16.4129965
AT_207647,48.287186,14.323669
AT_207681,46.822605,12.7978097
BE_295,50.6547324,5.7955049
BE_296,50.4741559,3.893579
BE_292,51.02156979999999,4.358609299999999
BE_293,50.9229828,3.3564945
BE_285,50.4072386,4.4387602
BE_284,50.4072386,4.4387602
BE_287,50.4072194,4.4387365
BE_286,50.4072194,4.4387365
BE_310,50.7227049,3.2068891
BE_311,51.2432295,4.3256702
BE_314,51.1728685,3.9308932
BE_312,50.797465,4.2968275
BE_313,51.0950644,3.7269336
BE_309,51.181596,3.7969668
BE_316,50.9331619,5.483491799999999
BE_315,51.0690781,2.6692016
BE_744,51.14159470000001,3.7956238
BE_745,51.2111319,2.9898447
BE_290,51.0704034,2.6877207
BE_288,50.4072386,4.4387602
BE_291,51.0094572,4.3615355
BE_746,51.2137712,5.099086199999999
BE_289,51.3149758,4.2893042
BE_326,50.902688,4.413645799999999
BE_327,50.8101446,3.2118206
BE_319,51.26768569999999,4.2945699
BE_320,51.289362,4.325681299999999
BE_318,51.29600050000001,4.5509049
BE_323,49.5515235,5.5827792
BE_322,50.8387468,4.3753655
BE_317,50.59164149999999,5.8627712
BE_6,50.8529732,4.401485399999999
BE_3,50.6666637,4.622207
BE_749,51.0950644,3.7269336
BE_750,51.1570477,3.8093713
BE_748,51.29600050000001,4.5509049
BE_747,51.177797,4.8809732
BE_759,49.5718241,5.5804541
BE_752,51.2098125,2.9983772
BE_15,50.8905512,4.0822589
BE_751,51.2399736,4.3370166
BE_1,50.8490757,4.3587566
BE_2,50.8429359,4.3555495
BE_758,49.8383805,5.253112
BE_16,51.0204333,3.0453144
BE_760,51.2031881,3.8066975
BE_13,50.7503229,3.6410151
BE_754,51.1115858,4.493348699999999
BE_25,50.5738012,3.4444914
BE_631,50.9142971,3.297692
BE_24,50.902688,4.413645799999999
BE_528,51.1903338,4.3250629
BE_21,50.64143780000001,4.2380756
BE_430,51.175915,4.8079805
BE_628,50.8732522,2.8766631
BE_629,50.33387700000001,6.0866367
BE_23,51.129343,3.161214
BE_18,50.15951339999999,5.062029799999999
BE_735,51.3163784,3.1849427
BE_736,50.878238,4.6689261
BE_35,50.9351249,5.5085615
BE_34,50.726081,2.9255172
BE_50,50.7501284,5.7298564
BE_47,51.2335079,4.3343918
BE_70,51.2617337,3.2095766
BE_90,50.7190929,3.852276
BE_87,50.586516,5.4212094
BE_88,50.3960886,4.3775014
BE_85,50.4724857,3.8248863
BE_86,50.6481953,5.613957
BE_83,51.1982474,3.8124589
BE_80,50.9690548,2.815311
BE_79,51.3254023,4.8534561
BE_82,51.3172967,3.1931037
BE_76,50.9412979,4.422806599999999
BE_78,51.1061698,3.4444269
BE_73,51.2241814,5.1075645
BE_74,51.1377488,3.7842009
BE_75,50.7813875,3.4901313
BE_110,50.6742315,5.6432623
BE_108,50.6062922,5.537519
BE_109,50.5860208,5.4470021
BE_72,50.9369154,5.493844699999999
BE_130,51.2399736,4.3370166
BE_126,51.331643,4.286711299999999
BE_125,50.5448594,4.2304646
BE_119,50.5672619,5.3647676
BE_121,51.1785134,4.4427974
BE_120,51.1514307,4.3836473
BE_150,50.88183799999999,4.4172999
BE_149,50.5779398,5.394753499999999
BE_170,51.2423477,5.2547985
BE_167,50.45572,4.399966800000001
BE_169,50.7477433,3.586364399999999
BE_165,51.1929563,5.1632051
BE_168,50.9280941,5.4871021
BE_166,50.4480631,4.688242199999999
BE_164,50.7258884,5.353109
BE_162,50.94219409999999,3.8642804
BE_189,50.5959744,3.4861512
BE_190,51.1029277,3.7580114
BE_188,50.65201709999999,5.4875679
BE_210,50.5448594,4.2304646
BE_208,51.3079993,3.2428201
BE_209,51.2498291,4.368393
BE_207,50.0273186,4.1521009
BE_206,50.6238197,5.8303686
BE_204,50.609674,5.520468
BE_203,51.0168325,3.7208462
BE_198,50.8961254,3.3852597
BE_199,51.0045568,3.7247185
BE_200,51.0720549,3.7123466
BE_201,50.9484937,5.3417641
BE_202,51.239275,5.266252
BE_205,50.4711149,4.9987562
BE_226,50.562207,4.250265
BE_227,50.75730009999999,3.2465362
BE_229,49.6732829,5.820995
BE_230,51.239295,5.266338
BE_228,51.32971569999999,4.8677126
BE_221,51.2686825,4.2697553
BE_220,50.7443041,2.8196155
BE_222,51.2548568,4.332114799999999
BE_223,51.2418643,4.375691199999999
BE_219,50.68894179999999,5.5818824
BE_213,51.0174946,5.7124145
BE_211,51.2496837,4.367376
BE_215,51.2975864,4.693766
BE_212,51.2390542,4.4736373
BE_214,51.3253298,4.8134291
BE_216,50.40338999999999,4.633690000000001
BE_217,50.5573959,5.1771448
BE_218,50.4972674,5.0769286
BE_250,51.0028322,3.3477532
BE_249,50.6782988,6.049628999999999
BE_247,50.8854114,3.2498286
BE_248,50.7254401,4.5303635
BE_246,50.8710744,3.4495036
BE_270,49.556564,5.5112138
BE_269,50.4317274,6.028096000000001
BE_265,50.8304984,3.2513925
BE_266,50.9926772,5.3777824
BE_267,50.86154330000001,4.357460100000001
BE_268,50.7047825,3.3467798
BE_201513,51.1212876,3.754775
BE_203795,50.6569309,5.6409074
BE_204097,51.0892909,4.3438591
BE_204096,51.0892909,4.3438591
BE_204109,51.3639105,4.2529356
BE_204032,50.93296369999999,4.4113361
BE_203913,51.1836104,3.8313483
BE_203896,51.2801577,4.3340125
BE_203882,51.2810198,4.2364511
BE_203912,51.1836104,3.8313483
BE_203884,51.2369305,4.5000781
BE_203897,51.1785134,4.4427974
BE_203915,51.0944936,4.8178911
BE_203837,51.3639105,4.2529356
BE_205667,51.3639105,4.2529356
BE_205687,50.5970995,5.485307
BE_203830,51.3639105,4.2529356
BE_203833,51.3639105,4.2529356
BE_205740,50.8710744,3.4495036
BE_205739,51.2613237,4.249829
BE_205721,50.5934491,3.4371974
BE_205742,51.3639105,4.2529356
BE_205734,50.9333939,5.4776811
BE_205723,50.5343446,4.2044355
BE_205722,50.5959744,3.4861512
BE_205735,51.3613442,4.9830963
BE_205737,51.2386691,4.4846036
BE_205736,50.9884006,5.241812899999999
BE_205738,50.8798881,4.6931439
BE_205743,51.3639105,4.2529356
BE_205741,51.3639105,4.2529356
BE_205758,51.3639105,4.2529356
BE_205757,50.90948400000001,5.5133397
BE_205759,51.3639105,4.2529356
BE_206139,51.2432295,4.3256702
BE_207682,50.5341962,5.2707169
BE_206990,51.2869998,4.2248484
BE_206989,50.8717176,4.503876099999999
BE_206955,51.0700264,4.3489692
BE_206988,51.1104062,5.0121859
BE_206957,50.86178409999999,3.5902785
BE_206066,51.2163467,5.2865931
BE_210661,50.9095417,3.3475135
BE_210659,50.875574,3.2810433
BE_215020,51.1212876,3.754775
BE_215021,51.1212876,3.754775
BE_210582,50.6411593,5.447911599999999
BE_214380,50.9231989,3.3573431
BE_214340,51.289362,4.325681299999999
BE_214360,50.9550654,3.5502929
BE_215022,51.18043369999999,3.7856042
BG_12,43.27652519999999,23.4615466
BG_6,43.2217497,27.6540855
BG_7,43.0709493,25.5993161
BG_4,42.6169869,23.0820005
BG_5,43.2567931,26.5310588
BG_10,43.1442227,23.6942969
BG_2,42.6977106,26.2714521
BG_3,43.9540736,22.8531521
BG_1,42.4865907,26.5331057
BG_29,42.8903751,24.7129702
BG_30,43.2000296,24.1690119
BG_31,42.0570312,25.6086165
BG_32,42.1357845,25.8651308
BG_28,43.2092363,23.5626136
BG_25,42.1832039,24.740764
BG_23,42.16970999999999,24.7431
BG_24,42.1832039,24.740764
BG_26,43.5363829,26.5164
BG_27,43.1964277,23.5795963
BG_52,43.8698608,26.0290155
BG_51,42.5187534,27.4772798
BG_49,43.28045119999999,24.0828513
BG_46,43.1442227,23.6942969
BG_47,42.216667,24.0
BG_48,43.4145467,23.23172
BG_50,42.2051091,24.1975884
BG_43,42.0314254,24.3061699
BG_44,43.1442227,23.6942969
BG_41,43.52364679999999,26.5214462
BG_42,42.0314254,24.3061699
BG_45,43.20393259999999,27.9172646
BG_40,43.1441928,23.7267529
BG_39,43.1442227,23.6942969
BG_72,42.6690733,23.6013116
BG_38,42.2791003,22.7601335
BG_37,42.5625385,27.532597
BG_71,43.2405294,27.8769984
BG_70,42.1380234,24.5420831
BG_69,43.700859,24.8946628
BG_68,42.1569655,24.7272966
BG_67,42.0133722,24.8784393
BG_66,42.733883,25.48583
BG_90,43.3307638,23.5809271
BG_91,42.400549,23.8129609
BG_143,43.1894747,25.3597264
BG_138,43.1894747,25.3597264
BG_145,43.1663564,27.6357856
BG_141,43.1663564,27.6357856
BG_142,42.0969057,25.2204628
BG_146,42.0969057,25.2204628
BG_140,42.0041796,23.082186
BG_136,43.1442227,23.6942969
BG_144,42.01712250000001,23.0905501
BG_137,43.77556149999999,23.7246154
BG_130,42.0502021,25.6275248
